rank,pattern_type,original_text,original_views,original_account,original_url,variation_1,variation_2,variation_3,avg_views_expected
1,statement,it never hurts a friendship 3 to,299400,aureliaareign,https://www.tiktok.com/@aureliaareign/video/7556439656489880846,it never hurts will surprise you,it never hurts you must try,it never hurts everyone loves,299400
2,statement,eames rata smee oe en developinghealthy communicenion sxilis shifitingmindssetjto susvs tieprebleny ne ee,231500,meganloopss,https://www.tiktok.com/@meganloopss/video/7557775946200141087,eames rata smee will surprise you,eames rata smee you must try,eames rata smee everyone loves,231500
3,statement,mim small things thatiarent soe a pinky promises callimei when you aren it sus ey sgetihome safer goodimorningtext messages adeep convos y,178800,miriamchicc,https://www.tiktok.com/@miriamchicc/video/7556478192530377998,mim small things will surprise you,mim small things you must try,mim small things everyone loves,178800
4,statement,disrespect makes aman id withdraw he stops sharing stops caring a andeventua hy s x f f,168200,sofiaupclose,https://www.tiktok.com/@sofiaupclose/video/7558352765043346701,disrespect makes aman will surprise you,disrespect makes aman you must try,disrespect makes aman everyone loves,168200
5,statement,ai re ug iar sy ay eae wille ain uifilocatio nis os,153300,meganloopss,https://www.tiktok.com/@meganloopss/video/7557992356302163230,ai re ug will surprise you,ai re ug you must try,ai re ug everyone loves,153300
6,statement,merelaretheristagesior ataewome nto mt ys a my f ih ae am j m fie 4 stage one the honeymoon phase q always happy sr ww arguments j et woe pegint 1x0 noti ce each wf other s cmoyane habits z as flaws come into view se z sus penclng a lot of timex pr ea oe 2moments of doubt breakune bs sie bacppen at this stage vou ve pvieattents the storm and arecommite ato moving forward with each other itegether tofi 6b grow,151100,sweetenedmiriam,https://www.tiktok.com/@sweetenedmiriam/video/7556292434792025375,merelaretheristagesior ataewome nto will surprise you,merelaretheristagesior ataewome nto you must try,merelaretheristagesior ataewome nto everyone loves,151100
1,cta,merelaretheristagesior ataewome nto mt ys a my f ih ae am j m fie 4 stage one the honeymoon phase q always happy sr ww arguments j et woe pegint 1x0 noti ce each wf other s cmoyane habits z as flaws come into view se z sus penclng a lot of timex pr ea oe 2moments of doubt breakune bs sie bacppen at this stage vou ve pvieattents the storm and arecommite ato moving forward with each other itegether tofi 6b grow,151100,sweetenedmiriam,https://www.tiktok.com/@sweetenedmiriam/video/7556292434792025375,merelaretheristagesior ataewome nto will surprise you,merelaretheristagesior ataewome nto you must try,merelaretheristagesior ataewome nto everyone loves,151100
7,statement,ip ionsh relat gj 5g or yw oo i _ 7p o _ lo _ stage one the honeymoon phase always happy no arguments gave four you made im 4 al you ve weathered the storm anda commited moving fen 4 each other be ic nrseithon ommunication skills,128800,miriamstylez,https://www.tiktok.com/@miriamstylez/video/7556991256862215438,ip ionsh relat will surprise you,ip ionsh relat you must try,ip ionsh relat everyone loves,128800
2,cta,ip ionsh relat gj 5g or yw oo i _ 7p o _ lo _ stage one the honeymoon phase always happy no arguments gave four you made im 4 al you ve weathered the storm anda commited moving fen 4 each other be ic nrseithon ommunication skills,128800,miriamstylez,https://www.tiktok.com/@miriamstylez/video/7556991256862215438,ip ionsh relat will surprise you,ip ionsh relat you must try,ip ionsh relat everyone loves,128800
8,statement,ad eniwhenjheineedsjit a mg ok ee a igh ss,106400,meganslidess,https://www.tiktok.com/@meganslidess/video/7560009708061461791,ad eniwhenjheineedsjit a will surprise you,ad eniwhenjheineedsjit a you must try,ad eniwhenjheineedsjit a everyone loves,106400
9,statement,f want yout strat my _ read e tell me about,96100,sofiasweetthighsss,https://www.tiktok.com/@sofiasweetthighsss/video/7557590373732748558,f want yout will surprise you,f want yout you must try,f want yout everyone loves,96100
10,statement,still spendingfa lot of timetogether,87800,naomipeeks,https://www.tiktok.com/@naomipeeks/video/7557388678197202207,still spendingfa lot will surprise you,still spendingfa lot you must try,still spendingfa lot everyone loves,87800
3,cta,lou begin p notice e2 each othe 1 em cm 2 ae frequent arguments and flicts entsiofc aen yd feelings nd stage four you made it,86800,tyralurk,https://www.tiktok.com/@tyralurk/video/7559306604458331406,lou begin p will surprise you,lou begin p you must try,lou begin p everyone loves,86800
4,cta,stagelonesthe _ honeymoon pee _ i wau eo ft intense conflict moments of doubt lo yr negssfage feelings of digconnect gand misunderstanding eakups happen at this i ae y developing healthy communication skills shifting mindset to us vs the problem not us vs each other,71500,tightlegssofia,https://www.tiktok.com/@tightlegssofia/video/7558997317244800269,stagelonesthe _ honeymoon will surprise you,stagelonesthe _ honeymoon you must try,stagelonesthe _ honeymoon everyone loves,71500
