username,va_name,current_followers,column,category
miriamshines,GRASHANG,2913,5,1K-5K
miriamtalks,UNKNOWN,4180,11,1K-5K
lovelymiriam5,UNKNOWN,1646,17,1K-5K
starmiriamm,UNKNOWN,3133,19,1K-5K
slayxmiriam,UNKNOWN,62,31,Under 1K
puremiriam,UNKNOWN,2910,33,1K-5K
cheekymiriamm,UNKNOWN,23,35,Under 1K
gentlemiriam,UNKNOWN,1634,37,1K-5K
blushmiriam,UNKNOWN,1412,39,1K-5K
glowingmiriam,UNKNOWN,4407,41,1K-5K
peachmiriam,UNKNOWN,4517,43,1K-5K
miriammatters,UNKNOWN,4142,45,1K-5K
miriamshiness,UNKNOWN,2467,49,1K-5K
miriamstylez,UNKNOWN,3624,51,1K-5K
miriamglow,UNKNOWN,2828,55,1K-5K
miriaminspiration,UNKNOWN,2794,59,1K-5K
guestmiriam,UNKNOWN,3765,63,1K-5K
stillmiriam,UNKNOWN,656,73,Under 1K
